ptid;enid;name;fullname
KOMMUNENUMMER;;1547;
KOMMUNENUMMER;;1548;
KOMMUNENUMMER;;1551;
KOMMUNENUMMER;;1554;
KOMMUNENUMMER;;1557;
KOMMUNENUMMER;;1560;
KOMMUNENUMMER;;1563;
KOMMUNENUMMER;;1566;
KOMMUNENUMMER;;1567;
KOMMUNENUMMER;;1569;
KOMMUNENUMMER;;1571;
KOMMUNENUMMER;;1572;
KOMMUNENUMMER;;1573;
KOMMUNENUMMER;;1576;
KOMMUNENUMMER;;1601;
KOMMUNENUMMER;;1612;
KOMMUNENUMMER;;1613;
KOMMUNENUMMER;;1617;
KOMMUNENUMMER;;1620;
KOMMUNENUMMER;;1621;
KOMMUNENUMMER;;1622;
KOMMUNENUMMER;;1624;
KOMMUNENUMMER;;1627;
KOMMUNENUMMER;;1630;
KOMMUNENUMMER;;1632;
KOMMUNENUMMER;;1633;
KOMMUNENUMMER;;1634;
KOMMUNENUMMER;;1635;
KOMMUNENUMMER;;1636;
KOMMUNENUMMER;;1638;
KOMMUNENUMMER;;1640;
KOMMUNENUMMER;;1644;
KOMMUNENUMMER;;1648;
KOMMUNENUMMER;;1653;
KOMMUNENUMMER;;1657;
KOMMUNENUMMER;;1662;
KOMMUNENUMMER;;1663;
KOMMUNENUMMER;;1664;
KOMMUNENUMMER;;1665;
KOMMUNENUMMER;;1702;
KOMMUNENUMMER;;1703;
KOMMUNENUMMER;;1711;
KOMMUNENUMMER;;1714;
KOMMUNENUMMER;;1717;
KOMMUNENUMMER;;1718;
KOMMUNENUMMER;;1719;
KOMMUNENUMMER;;1721;
KOMMUNENUMMER;;1723;
KOMMUNENUMMER;;1724;
KOMMUNENUMMER;;1725;
KOMMUNENUMMER;;1729;
KOMMUNENUMMER;;1736;
KOMMUNENUMMER;;1738;
KOMMUNENUMMER;;1739;
KOMMUNENUMMER;;1740;
KOMMUNENUMMER;;1742;
KOMMUNENUMMER;;1743;
KOMMUNENUMMER;;1744;
KOMMUNENUMMER;;1748;
KOMMUNENUMMER;;1749;
KOMMUNENUMMER;;1750;
KOMMUNENUMMER;;1751;
KOMMUNENUMMER;;1755;
KOMMUNENUMMER;;1756;
KOMMUNENUMMER;;1804;
KOMMUNENUMMER;;1805;
KOMMUNENUMMER;;1811;
KOMMUNENUMMER;;1812;
KOMMUNENUMMER;;1813;
KOMMUNENUMMER;;1815;
KOMMUNENUMMER;;1816;
KOMMUNENUMMER;;1818;
KOMMUNENUMMER;;1820;
KOMMUNENUMMER;;1822;
KOMMUNENUMMER;;1824;
KOMMUNENUMMER;;1825;
KOMMUNENUMMER;;1826;
KOMMUNENUMMER;;1827;
KOMMUNENUMMER;;1828;
KOMMUNENUMMER;;1832;
KOMMUNENUMMER;;1833;
KOMMUNENUMMER;;1834;
KOMMUNENUMMER;;1835;
KOMMUNENUMMER;;1836;
KOMMUNENUMMER;;1837;
KOMMUNENUMMER;;1838;
KOMMUNENUMMER;;1839;
KOMMUNENUMMER;;1840;
KOMMUNENUMMER;;1841;
KOMMUNENUMMER;;1842;
KOMMUNENUMMER;;1845;
KOMMUNENUMMER;;1848;
KOMMUNENUMMER;;1849;
KOMMUNENUMMER;;1850;
KOMMUNENUMMER;;1851;
KOMMUNENUMMER;;1852;
KOMMUNENUMMER;;1853;
KOMMUNENUMMER;;1854;
KOMMUNENUMMER;;1856;
KOMMUNENUMMER;;1857;
KOMMUNENUMMER;;1859;
KOMMUNENUMMER;;1860;
KOMMUNENUMMER;;1865;
KOMMUNENUMMER;;1866;
KOMMUNENUMMER;;1867;
KOMMUNENUMMER;;1868;
KOMMUNENUMMER;;1870;
KOMMUNENUMMER;;1871;
KOMMUNENUMMER;;1874;
KOMMUNENUMMER;;1901;
KOMMUNENUMMER;;1902;
KOMMUNENUMMER;;1903;
KOMMUNENUMMER;;1911;
KOMMUNENUMMER;;1913;
KOMMUNENUMMER;;1915;
KOMMUNENUMMER;;1917;
KOMMUNENUMMER;;1919;
KOMMUNENUMMER;;1920;
KOMMUNENUMMER;;1922;
KOMMUNENUMMER;;1923;
KOMMUNENUMMER;;1924;
KOMMUNENUMMER;;1925;
KOMMUNENUMMER;;1926;
KOMMUNENUMMER;;1927;
KOMMUNENUMMER;;1928;
KOMMUNENUMMER;;1929;
KOMMUNENUMMER;;1931;
KOMMUNENUMMER;;1933;
KOMMUNENUMMER;;1936;
KOMMUNENUMMER;;1938;
KOMMUNENUMMER;;1939;
KOMMUNENUMMER;;1940;
KOMMUNENUMMER;;1941;
KOMMUNENUMMER;;1942;
KOMMUNENUMMER;;1943;
KOMMUNENUMMER;;2001;
KOMMUNENUMMER;;2002;
KOMMUNENUMMER;;2003;
KOMMUNENUMMER;;2004;
KOMMUNENUMMER;;2011;
KOMMUNENUMMER;;2012;
KOMMUNENUMMER;;2014;
KOMMUNENUMMER;;2015;
KOMMUNENUMMER;;2016;
KOMMUNENUMMER;;2017;
KOMMUNENUMMER;;2018;
KOMMUNENUMMER;;2019;
KOMMUNENUMMER;;2020;
KOMMUNENUMMER;;2021;
KOMMUNENUMMER;;2022;
KOMMUNENUMMER;;2023;
KOMMUNENUMMER;;2024;
KOMMUNENUMMER;;2025;
KOMMUNENUMMER;;2027;
KOMMUNENUMMER;;2028;
KOMMUNENUMMER;;2030;
KOMMUNENUMMER;;2111;
KOMMUNENUMMER;;2121;
KOMMUNENUMMER;;2131;
KOMMUNENUMMER;;2211;
KOMMUNENUMMER;;2311;
KOMMUNENUMMER;;2321;
KOMMUNENUMMER;;5001;
KOMMUNENUMMER;;5004;
KOMMUNENUMMER;;5005;
KOMMUNENUMMER;;5011;
KOMMUNENUMMER;;5012;
KOMMUNENUMMER;;5013;
KOMMUNENUMMER;;5014;
KOMMUNENUMMER;;5015;
KOMMUNENUMMER;;5016;
KOMMUNENUMMER;;5017;
KOMMUNENUMMER;;5018;
KOMMUNENUMMER;;5019;
KOMMUNENUMMER;;5020;
KOMMUNENUMMER;;5021;
KOMMUNENUMMER;;5022;
KOMMUNENUMMER;;5023;
KOMMUNENUMMER;;5024;
KOMMUNENUMMER;;5025;
KOMMUNENUMMER;;5026;
KOMMUNENUMMER;;5027;
KOMMUNENUMMER;;5028;
KOMMUNENUMMER;;5029;
KOMMUNENUMMER;;5030;
KOMMUNENUMMER;;5031;
KOMMUNENUMMER;;5032;
KOMMUNENUMMER;;5033;
KOMMUNENUMMER;;5034;
KOMMUNENUMMER;;5035;
KOMMUNENUMMER;;5036;
KOMMUNENUMMER;;5037;
KOMMUNENUMMER;;5038;
KOMMUNENUMMER;;5039;
KOMMUNENUMMER;;5040;
KOMMUNENUMMER;;5041;
KOMMUNENUMMER;;5042;
KOMMUNENUMMER;;5043;
KOMMUNENUMMER;;5044;
KOMMUNENUMMER;;5045;
KOMMUNENUMMER;;5046;
KOMMUNENUMMER;;5047;
KOMMUNENUMMER;;5048;
KOMMUNENUMMER;;5049;
KOMMUNENUMMER;;5050;
KOMMUNENUMMER;;5051;
KOMMUNENUMMER;;5052;
KOMMUNENUMMER;;5053;
KOMMUNENUMMER;;5054;
KOMMUNENUMMER;;0712;
KOMMUNENUMMER;;0715;
KOMMUNENUMMER;;0729;
NVDB_FARTSGRENSEVERDI;;20;
NVDB_FARTSGRENSEVERDI;;30;
NVDB_FARTSGRENSEVERDI;;40;
NVDB_FARTSGRENSEVERDI;;50;
NVDB_FARTSGRENSEVERDI;;60;
NVDB_FARTSGRENSEVERDI;;70;
NVDB_FARTSGRENSEVERDI;;80;
NVDB_FARTSGRENSEVERDI;;90;
NVDB_FARTSGRENSEVERDI;;100;
NVDB_FARTSGRENSEVERDI;;110;
